Year,RI_Region,Species,adult_biomass,tot_biomass
1985,CI,Pink,3000.946,3944.412
1986,CI,Pink,7310.848,10119.317
1987,CI,Pink,1770.495,2233.34
1988,CI,Pink,3440.898,4522.776
1989,CI,Pink,2682.717,3648.927
1990,CI,Pink,2888.549,3833.332
1991,CI,Pink,1703.343,2290.157
1992,CI,Pink,3897.513,5666.288
1993,CI,Pink,2883.953,4199.756
1994,CI,Pink,5114.125,7384.779
1995,CI,Pink,5481.218,7812.311
1996,CI,Pink,2133.267,3088.19
1997,CI,Pink,5661.83,7969.301
1998,CI,Pink,4963.372,7155.298
1999,CI,Pink,2145.158,3043.381
2000,CI,Pink,2869.197,3969.354
2001,CI,Pink,1949.1,2787.659
2002,CI,Pink,5632.221,8232.684
2003,CI,Pink,2475.544,3363.47
2004,CI,Pink,12638.507,18587.233
2005,CI,Pink,10574.277,14693.259
2006,CI,Pink,5206.481,7341.138
2007,CI,Pink,3072.599,4332.365
2008,CI,Pink,2031.054,2863.785
2009,CI,Pink,3887.541,5481.432
2010,CI,Pink,1147.279,1617.664
2011,CI,Pink,1041.415,1468.395
2012,CI,Pink,2352.018,3316.345
2013,CI,Pink,6003.407,8464.804
2014,CI,Pink,2999.317,4229.037
2015,CI,Pink,18764.516,26457.967
1985,Kod,Pink,18341.937,24108.447
1986,Kod,Pink,27415.544,37947.251
1987,Kod,Pink,13168.406,16610.908
1988,Kod,Pink,33415.663,43922.122
1989,Kod,Pink,31520.735,42873.274
1990,Kod,Pink,18332.529,24328.713
1991,Kod,Pink,28602.875,38456.769
1992,Kod,Pink,12359.329,17968.261
1993,Kod,Pink,56003.376,81554.916
1994,Kod,Pink,22011.24,31784.16
1995,Kod,Pink,87178.965,124255.077
1996,Kod,Pink,11415.325,16525.218
1997,Kod,Pink,22556.031,31748.713
1998,Kod,Pink,50920.041,73407.366
1999,Kod,Pink,23108.646,32784.718
2000,Kod,Pink,22490.578,31114.305
2001,Kod,Pink,36968.309,52873.136
2002,Kod,Pink,46808.592,68420.668
2003,Kod,Pink,32351.876,43955.806
2004,Kod,Pink,51527.399,75780.455
2005,Kod,Pink,53347.822,74128.319
2006,Kod,Pink,64543.627,91006.514
2007,Kod,Pink,46180.538,65114.559
2008,Kod,Pink,21274.059,29996.423
2009,Kod,Pink,50392.345,71053.206
2010,Kod,Pink,21783.588,30714.859
2011,Kod,Pink,28779.792,40579.507
2012,Kod,Pink,36376.705,51291.154
2013,Kod,Pink,47681.563,67231.004
2014,Kod,Pink,21723.18,30629.684
2015,Kod,Pink,59224.796,83506.962
1985,PWS,Pink,52993.218,69653.722
1986,PWS,Pink,20257.516,28039.461
1987,PWS,Pink,54164.327,68324.036
1988,PWS,Pink,23674.128,31117.68
1989,PWS,Pink,43293.726,58886.437
1990,PWS,Pink,65036.988,86309.214
1991,PWS,Pink,47227.448,63497.641
1992,PWS,Pink,15913.938,23136.027
1993,PWS,Pink,10885.354,15851.797
1994,PWS,Pink,52235.111,75427.331
1995,PWS,Pink,33941.347,48376.173
1996,PWS,Pink,45708.275,66168.873
1997,PWS,Pink,52986.498,74581.08
1998,PWS,Pink,55827.445,80481.981
1999,PWS,Pink,75934.472,107729.82
2000,PWS,Pink,69146.509,95659.861
2001,PWS,Pink,65177.494,93218.722
2002,PWS,Pink,36271.203,53018.043
2003,PWS,Pink,102048.826,138651.568
2004,PWS,Pink,50279.398,73945.042
2005,PWS,Pink,119444.004,165970.849
2006,PWS,Pink,43846.934,61824.177
2007,PWS,Pink,105356.686,148552.928
2008,PWS,Pink,69767.267,98371.847
2009,PWS,Pink,33348.465,47021.335
2010,PWS,Pink,125745.239,177300.787
2011,PWS,Pink,60488.653,85289.001
2012,PWS,Pink,54243.537,76483.387
2013,PWS,Pink,133779.134,188628.579
2014,PWS,Pink,69159.193,97514.462
2015,PWS,Pink,175916.869,248042.785
1985,SEAK,Pink,140620.033,184829.476
1986,SEAK,Pink,127793.836,176885.958
1987,SEAK,Pink,54045.535,68174.19
1988,SEAK,Pink,36451.076,47911.921
1989,SEAK,Pink,139299.584,189469.857
1990,SEAK,Pink,81382.052,108000.403
1991,SEAK,Pink,109482.303,147199.738
1992,SEAK,Pink,93047.759,135274.847
1993,SEAK,Pink,117468.919,171064.113
1994,SEAK,Pink,125901.152,181800.857
1995,SEAK,Pink,121247.62,172812.7
1996,SEAK,Pink,170974.043,247507.915
1997,SEAK,Pink,115529.354,162613.199
1998,SEAK,Pink,130351.947,187918.017
1999,SEAK,Pink,206020.051,292284.942
2000,SEAK,Pink,78737.692,108928.662
2001,SEAK,Pink,172332.831,246475.361
2002,SEAK,Pink,149022.335,217827.692
2003,SEAK,Pink,153930.227,209141.723
2004,SEAK,Pink,140581.305,206750.497
2005,SEAK,Pink,173512.711,241100.859
2006,SEAK,Pink,68243.977,96224.007
2007,SEAK,Pink,145220.475,204760.87
2008,SEAK,Pink,66558.12,93846.949
2009,SEAK,Pink,101132.474,142596.788
2010,SEAK,Pink,101699.067,143395.685
2011,SEAK,Pink,173729.465,244958.546
2012,SEAK,Pink,79820.917,112547.493
2013,SEAK,Pink,231621.419,326586.2
2014,SEAK,Pink,116211.278,163857.903
2015,SEAK,Pink,108099.624,152420.47
1985,SPen,Pink,12979.035,17059.506
1986,SPen,Pink,12080.866,16721.742
1987,SPen,Pink,5861.958,7394.399
1988,SPen,Pink,25392.86,33376.812
1989,SPen,Pink,19691.73,26783.922
1990,SPen,Pink,9036.828,11992.584
1991,SPen,Pink,21922.373,29474.787
1992,SPen,Pink,25912.355,37671.942
1993,SPen,Pink,25159.274,36638.192
1994,SPen,Pink,19347.862,27938.251
1995,SPen,Pink,50209.341,71562.739
1996,SPen,Pink,13409.942,19412.694
1997,SPen,Pink,17566.184,24725.26
1998,SPen,Pink,26016.222,37505.515
1999,SPen,Pink,24098.83,34189.512
2000,SPen,Pink,10993.476,15208.784
2001,SPen,Pink,20192.977,28880.575
2002,SPen,Pink,12805.864,18718.482
2003,SPen,Pink,24843.084,33753.769
2004,SPen,Pink,24774.009,36434.708
2005,SPen,Pink,24733.784,34368.298
2006,SPen,Pink,12555.405,17703.122
2007,SPen,Pink,23652.893,33350.579
2008,SPen,Pink,30879.415,43539.975
2009,SPen,Pink,20264.315,28572.685
2010,SPen,Pink,3767.124,5311.645
2011,SPen,Pink,15154.669,21368.083
2012,SPen,Pink,2314.286,3263.143
2013,SPen,Pink,17669.206,24913.58
2014,SPen,Pink,4206.941,5931.786
2015,SPen,Pink,40396.933,56959.675
1985,WAK,Pink,302.785,397.978
1986,WAK,Pink,2318.66,3209.375
1987,WAK,Pink,287.05,362.091
1988,WAK,Pink,10318.502,13562.817
1989,WAK,Pink,305.884,416.052
1990,WAK,Pink,8512.264,11296.446
1991,WAK,Pink,291.991,392.584
1992,WAK,Pink,5497.632,7992.577
1993,WAK,Pink,1151.441,1676.785
1994,WAK,Pink,10760.765,15538.51
1995,WAK,Pink,169.522,241.617
1996,WAK,Pink,4760.911,6892.059
1997,WAK,Pink,386.25,543.666
1998,WAK,Pink,4094.017,5902.018
1999,WAK,Pink,165.279,234.485
2000,WAK,Pink,3393.105,4694.149
2001,WAK,Pink,202.641,289.824
2002,WAK,Pink,3689.088,5392.383
2003,WAK,Pink,882.807,1199.45
2004,WAK,Pink,12857.436,18909.209
2005,WAK,Pink,3979.703,5529.911
2006,WAK,Pink,6086.773,8582.35
2007,WAK,Pink,238.509,336.297
2008,WAK,Pink,6005.618,8467.921
2009,WAK,Pink,225.868,318.473
2010,WAK,Pink,6953.054,9803.806
2011,WAK,Pink,217.278,306.362
2012,WAK,Pink,5249.172,7401.332
2013,WAK,Pink,200.982,283.385
2014,WAK,Pink,7501.105,10576.558
2015,WAK,Pink,238.523,336.318
1985,CI,Chum,7320.889,40035.605
1986,CI,Chum,9439.49,51087.965
1987,CI,Chum,4615.702,26026.738
1988,CI,Chum,9065.32,50557.526
1989,CI,Chum,3338.156,20489.236
1990,CI,Chum,2648.302,15751.526
1991,CI,Chum,2680.751,16678.57
1992,CI,Chum,3088.604,19511.001
1993,CI,Chum,1065.133,7181.87
1994,CI,Chum,2989.67,19052.047
1995,CI,Chum,4797.928,31038.367
1996,CI,Chum,2129.718,11844.381
1997,CI,Chum,3282.586,20185.378
1998,CI,Chum,2196.225,13171.676
1999,CI,Chum,2304.975,12127.636
2000,CI,Chum,2553.631,13440.589
2001,CI,Chum,2272.341,11960.699
2002,CI,Chum,3136.414,16508.012
2003,CI,Chum,1797.397,9462.572
2004,CI,Chum,3696.541,19455.17
2005,CI,Chum,2169.642,11410.787
2006,CI,Chum,2152.506,11320.664
2007,CI,Chum,2029.048,10671.364
2008,CI,Chum,2102.422,11057.257
2009,CI,Chum,2112.414,11109.812
2010,CI,Chum,2676.482,14076.412
2011,CI,Chum,2064.981,10860.347
2012,CI,Chum,3179.009,16719.35
2013,CI,Chum,2346.201,12339.366
2014,CI,Chum,2110.265,11098.509
2015,CI,Chum,3778.549,19872.504
1985,Kod,Chum,3744.714,20478.647
1986,Kod,Chum,6168.631,33385.575
1987,Kod,Chum,4011.199,22618.104
1988,Kod,Chum,8109.675,45227.871
1989,Kod,Chum,4721.884,28982.406
1990,Kod,Chum,3724.739,22153.939
1991,Kod,Chum,6284.425,39099.198
1992,Kod,Chum,3926.927,24806.77
1993,Kod,Chum,2207.962,14887.614
1994,Kod,Chum,3777.756,24074.228
1995,Kod,Chum,6690.647,43282.591
1996,Kod,Chum,3382.035,18809.111
1997,Kod,Chum,2738.045,16836.869
1998,Kod,Chum,2023.178,12133.841
1999,Kod,Chum,5083.264,26745.619
2000,Kod,Chum,7260.095,38212.239
2001,Kod,Chum,5540.014,29160.427
2002,Kod,Chum,3774.21,19864.952
2003,Kod,Chum,4914.06,25870.544
2004,Kod,Chum,6923.913,36441.072
2005,Kod,Chum,3097.495,16290.644
2006,Kod,Chum,7883.433,41461.306
2007,Kod,Chum,3867.715,20341.456
2008,Kod,Chum,4533.079,23840.801
2009,Kod,Chum,4631.51,24358.479
2010,Kod,Chum,3863.897,20321.378
2011,Kod,Chum,4135.867,21751.748
2012,Kod,Chum,4619.514,24295.391
2013,Kod,Chum,4579.637,24085.667
2014,Kod,Chum,2217.618,11663.108
2015,Kod,Chum,4210.569,22144.627
1985,PWS,Chum,12031.953,65798.91
1986,PWS,Chum,8230.146,44542.81
1987,PWS,Chum,9906.902,55862.431
1988,PWS,Chum,12055.737,67235.163
1989,PWS,Chum,7001.272,42973.035
1990,PWS,Chum,6016.333,35783.842
1991,PWS,Chum,1676.884,10432.908
1992,PWS,Chum,2195.183,13867.18
1993,PWS,Chum,4405.443,29704.562
1994,PWS,Chum,5640.843,35946.986
1995,PWS,Chum,4010.191,25942.403
1996,PWS,Chum,9716.572,54038.501
1997,PWS,Chum,10148.655,62406.411
1998,PWS,Chum,7247.495,43466.256
1999,PWS,Chum,14393.314,75730.488
2000,PWS,Chum,22007.522,115832.737
2001,PWS,Chum,14308.585,75314.692
2002,PWS,Chum,26838.512,141260.221
2003,PWS,Chum,18577.695,97804.083
2004,PWS,Chum,8665.812,45608.816
2005,PWS,Chum,9492.634,49924.566
2006,PWS,Chum,10786.578,56729.803
2007,PWS,Chum,12962.267,68172.39
2008,PWS,Chum,18069.617,95033.454
2009,PWS,Chum,12094.344,63607.728
2010,PWS,Chum,15212.926,80009.271
2011,PWS,Chum,8694.215,45725.446
2012,PWS,Chum,15786.192,83024.248
2013,PWS,Chum,15217.976,80035.835
2014,PWS,Chum,6663.777,35046.771
2015,PWS,Chum,7384.625,38837.923
1985,SEAK,Chum,23809.051,130204.101
1986,SEAK,Chum,22237.881,120354.818
1987,SEAK,Chum,25338.671,142878.144
1988,SEAK,Chum,27521.198,153486.444
1989,SEAK,Chum,12452.033,76429.205
1990,SEAK,Chum,14403.789,85670.617
1991,SEAK,Chum,16119.012,100286.099
1992,SEAK,Chum,28207.91,178192.017
1993,SEAK,Chum,33502.18,225894.999
1994,SEAK,Chum,48039.767,306139.474
1995,SEAK,Chum,56189.494,363496.506
1996,SEAK,Chum,87651.167,487470.03
1997,SEAK,Chum,65753.574,404333.818
1998,SEAK,Chum,88568.07,531179.712
1999,SEAK,Chum,88587.429,466103.176
2000,SEAK,Chum,98444.068,518143.112
2001,SEAK,Chum,49415.201,260101.927
2002,SEAK,Chum,44940.239,236535.771
2003,SEAK,Chum,45633.699,240243.042
2004,SEAK,Chum,57037.571,300192.984
2005,SEAK,Chum,51572.224,271233.568
2006,SEAK,Chum,62897.546,330796.781
2007,SEAK,Chum,43614.418,229381.114
2008,SEAK,Chum,41169.345,216521.749
2009,SEAK,Chum,36674.876,192884.008
2010,SEAK,Chum,44272.556,232842.453
2011,SEAK,Chum,44350.678,233253.319
2012,SEAK,Chum,58424.111,307269.665
2013,SEAK,Chum,53143.795,279498.922
2014,SEAK,Chum,31721.95,166835.108
2015,SEAK,Chum,57321.416,301470.266
1985,SPen,Chum,5846.983,31975.282
1986,SPen,Chum,8559.806,46326.981
1987,SPen,Chum,7312.109,41231.074
1988,SPen,Chum,9986.871,55697.044
1989,SPen,Chum,3824.281,23473.013
1990,SPen,Chum,5586.472,33227.127
1991,SPen,Chum,7535.059,46880.147
1992,SPen,Chum,7017.544,44330.485
1993,SPen,Chum,4541.9,30624.646
1994,SPen,Chum,9934.894,63311.363
1995,SPen,Chum,10312.229,66711.031
1996,SPen,Chum,6584.317,36618.533
1997,SPen,Chum,7960.957,48953.753
1998,SPen,Chum,7433.149,44579.701
1999,SPen,Chum,7380.561,38832.856
2000,SPen,Chum,7695.401,40503.398
2001,SPen,Chum,10411.017,54799.443
